round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,5179.892578125,50.51511764526367,6096.519417480469,53.97718,leakyrelu,32,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4689.35546875,50.3858642578125,7674.760378417969,57.98173,leakyrelu,32,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5115.04296875,51.681610107421875,6349.402682617188,54.72072,leakyrelu,32,0.25,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5410.412109375,52.452171325683594,7254.511437988282,58.41693,leakyrelu,32,0.25,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4970.86962890625,48.48611068725586,6391.139540527343,54.816456,leakyrelu,32,0.5,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6406.65673828125,60.553062438964844,7237.830377441406,57.150063,leakyrelu,32,0.5,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6591.5078125,57.5037956237793,6271.28230078125,54.873108,leakyrelu,32,0.5,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,8182.716796875,61.495574951171875,7225.1431875,57.8311,leakyrelu,32,0.5,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4994.4072265625,49.38628387451172,6639.81559375,55.528206,leakyrelu,64,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6899.0966796875,56.28599548339844,9851.949490234376,62.213673,leakyrelu,64,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6589.1748046875,55.17538070678711,6577.027891601562,55.40789,leakyrelu,64,0.25,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5164.44921875,49.966766357421875,9165.92119921875,61.691086,leakyrelu,64,0.25,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5206.27880859375,49.35603713989258,6524.8700283203125,55.44685,leakyrelu,64,0.5,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5715.93408203125,50.420204162597656,9286.140317382813,61.548225,leakyrelu,64,0.5,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5596.484375,51.418792724609375,6547.5046015625,55.860714,leakyrelu,64,0.5,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6379.0810546875,52.4318962097168,9527.84651171875,61.66656,leakyrelu,64,0.5,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5243.27783203125,52.16565704345703,6193.4088203125,54.807934,relu,32,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4589.27392578125,46.312278747558594,6969.632796386719,56.40191,relu,32,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4610.2392578125,49.82331848144531,6212.916050292969,54.19606,relu,32,0.25,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
