round_epochs,loss,mean_absolut_error,val_loss,val_mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,97810.11951904297,89.23692,5735.194259765625,52.141422,leakyrelu,32,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,0,0.1,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,1783915431588445.8,4330872.5,89433441370.112,212643.8,leakyrelu,32,0.25,1,1024,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,1,0.1,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,162804304139496.9,628308.75,94179825.92,7751.917,leakyrelu,32,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,2,0.1,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,631986951.3137461,3741.0706,41334.4584375,156.14836,leakyrelu,32,0.25,1,1024,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,14956489616823.156,488046.5,702901813.76,22223.934,leakyrelu,32,0.25,1,1024,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,nan,nan,nan,nan,leakyrelu,32,0.25,1,1024,3,0.1,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
