epoch,loss,mean_absolut_error,val_loss,val_mean_absolut_error
0,3233.2959066833496,35.88038,2837.8962131347657,37.42204
1,1741.8355927474975,23.83305,1557.3420869018555,23.453814
2,1404.9008624801636,20.36615,1290.1523024536132,19.683184
3,1224.0996387786865,18.444029,1162.8195846069336,18.208752
4,1126.0143273834228,17.241428,1157.9511361694335,19.195766
5,1055.9359421951294,16.483128,6306.0324280273435,52.41087
6,977.5375885559082,15.602018,886.9014052612305,13.698952
7,942.2966898780822,15.036732,1217.0850571166993,18.224874
8,895.0688163269043,14.5324,833.9416733825684,13.061056
9,871.3670537429809,14.121913,856.6697843170166,13.012726
10,858.9596292274475,13.777483,872.7052950347901,13.687576
11,815.739427923584,13.380975,5273.21514140625,55.42206
12,796.5371463043213,13.062877,5812.226152539062,60.0698
13,771.5705604400634,12.780039,766.9393334426879,11.760579
14,753.1018520500184,12.534971,687.4918601928711,11.656288
15,734.5477175308228,12.217296,772.6657601104737,11.214274
16,729.1664715366363,12.032493,2914.362446057129,33.490154
17,718.6390132156372,11.980204,668.9313216964722,10.731518
18,705.6473242095947,11.730635,688.9201140472412,11.194001
19,689.0935090457916,11.500154,771.0178584487915,12.896521
20,682.6986105735779,11.373136,1721.9711912231446,26.502787
21,676.1938058490753,11.183117,4472.6969600585935,50.03422
22,655.3004508983612,11.012185,682.932777394104,10.506618
23,653.8258163959504,10.985782,636.2557359893799,9.868522
24,660.9835499824524,10.847834,639.9766657348633,10.283521
25,645.4436962574005,10.722632,609.8631318878174,10.44232
26,625.065097605133,10.424033,674.6843066467285,10.72141
27,628.709615050888,10.443967,579.0998851150513,9.153843
28,623.2744284698487,10.369518,606.8568334762573,9.948984
29,604.2703969787598,10.219107,6500.1988596679685,49.702423
30,602.5935893119812,10.123768,600.282364630127,9.85378
31,604.2763481204987,10.076954,600.8322322998047,9.046413
32,581.642895375824,9.819679,569.9525740951539,9.453114
33,587.5878335319519,9.771436,658.0720476760864,10.322711
34,574.2496303878784,9.713865,645.0555708648682,9.623254
35,583.8642269390106,9.772033,618.370751272583,9.083568
36,577.8281501464844,9.652579,546.3374576705933,9.334186
37,567.9201040847778,9.542629,655.2313711868286,9.859336
38,564.3726537498474,9.497464,529.78036173172,8.409549
39,553.713936597824,9.269791,618.1235081878663,10.146542
40,552.3541425067901,9.299854,558.6775859542847,10.076883
41,560.6496000919342,9.351821,531.7652307456971,8.239734
42,551.7664303573608,9.22389,668.3768216674805,10.615576
43,545.0392491184234,9.157095,578.4876203918457,10.727078
44,549.8636989793778,9.1062975,3252.025375463867,37.70225
45,542.8669489170074,9.071045,598.9929434906006,9.229831
46,539.0468397043228,9.023488,563.9487581237793,9.570287
47,534.7236985301971,8.902182,990.0054832397461,14.398181
48,529.9119769945145,8.812103,574.5969540222168,9.844033
49,528.8619000299453,8.839385,581.7011417938232,10.067028
50,522.3563553358078,8.7603855,526.4410625228882,8.322578
51,518.1730476226807,8.75495,518.4076457763672,7.86251
52,515.5002286037445,8.695967,683.5812544265747,10.057802
53,520.4881533115387,8.659793,520.1478567398071,8.650636
54,505.68086226825716,8.599686,600.2453223754883,9.611825
55,514.979207603836,8.555498,2714.508255541992,31.950094
